Title,Company Name,Area,Governorate,Country,Job Type,Experience Level,Min Yrs of Excperience,Max Yrs of Experience,Gender,Source,Skills - 1,Skills - 1.1,Skills - 1.2,Skills - 1.3,Skills - 2,Skills - 2.1,Skills - 3,Skills - 3.1,Skills - 3.2,Skills - 3.3,Skills - 4,Skills - 5,Skills - 6
HVAC Technical Office Engineer,EIC Systems,,Nasr City,Egypt,Full Time,Experienced,5,,,Wuzzuf,Creative,Engineering,Engineering - Mechanical/Electrical,Engineering,AutoCAD,Technical Office,Mechanical,,,,,,
Junior Graphic Designer,OTO Courses,,Maadi,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Creative,Adobe illustrator,Adobe illustrator,Adobe Photoshop,Adobe Photoshop,Creative,Design,,,,,,
Junior Graphic Designer ( Photo Editor),Safa International Travel,,Dokki,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Creative,Adobe illustrator,Marketing/PR/Advertising,Media/Journalism/Publishing,Adobe Photoshop,Creative,Design,,,,,,
Junior Social Media Designer - Alexandria,Madar Soft,,Fleming,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Creative,After Effects,Marketing/PR/Advertising,Media/Journalism/Publishing,Adobe Creative Suite,Graphic Design,Design,,,,,,
Junior UI/ UX Designer,Qmind,,Nozha,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Creative,UI/UX,IT/Software Development,UI/UX,Design,Computer Science,Information Technology (IT),,,,,,
Manicurist,Bliss beauty,,Sheikh Zayed,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Creative,Design,Design,Creative,Creative,,,,,,,,
Marketing Manager,Confidential,,Obour City,Egypt,Full Time,Manager,10,,,Wuzzuf,Creative,Marketing,Marketing/PR/Advertising,Media/Journalism/Publishing,Digital Advertising,Online Advertising,Internet Advertising,,,,,,
Mechanical Design Engineer,valves engineering company,,Badr City,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Creative,Manufacturing,Manufacturing/Production,Engineering - Mechanical/Electrical,Design,Mechanical Engineering,CAD,,,,,,
Motion Designer,Confidential,,Maadi,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Creative,Design,Design,Behance,Behance,Applied Art,Illustrator,,,,,,
Motion Graphic Designer,Maxab,,Cairo,Egypt,Full Time,Experienced,4,6,,Wuzzuf,Creative,Adobe After Effects,Adobe After Effects,Adobe illustrator,Adobe illustrator,Adobe Photoshop,After Effects,,,,,,
Motion Graphic Designer,Confidential,,Maadi,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Creative,Graphic Design,Marketing/PR/Advertising,Graphic Design,Aftereffect,Adobe Photoshop,Animation,,,,,,
Motion Graphic Designer,ATRIC Developments,,Heliopolis,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Creative,Adobe Photoshop,Adobe Photoshop,Adobe illustrator,Adobe illustrator,Graphic Design,Motion,,,,,,
Motion Graphics Designer,Jazeera Paints,,10th of Ramadan City,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Creative,Adobe illustrator,Adobe illustrator,Adobe Photoshop,Adobe Photoshop,Communication,Communication skills,,,,,,
Section Head of Secure Design and Technical Equipment,Nasps,,Cairo,Egypt,Full Time,Manager,7,10,,Wuzzuf,Creative,Graphic Design,Media/Journalism/Publishing,Graphic Design,Graphic Web Design,AutoCAD,Secure Design and Technical Equipment,,,,,,
Security Design Engineer,Target Recruitment & HR Solutions,,Cairo,Egypt,Full Time,Experienced,5,10,,Wuzzuf,Creative,Information Technology (IT),Engineering - Telecom/Technology,Engineering - Mechanical/Electrical,Communication,Engineering,Security,,,,,,
Senior Animator / Motion Graphics Designer and Editor - Alexandria,Caduceus Lane,,San Stefano,Egypt,Full Time,Experienced,6,8,,Wuzzuf,Creative,Creating,Marketing/PR/Advertising,Media/Journalism/Publishing,Editing,Motion Graphics,Media,,,,,,
Senior Graphic Designer,MK Team Solutions,,Nasr City,Egypt,Full Time,Experienced,3,6,,Wuzzuf,Creative,adobe,Marketing/PR/Advertising,Media/Journalism/Publishing,Adobe illustrator,After Effects,Branding,,,,,,
Senior Graphic Designer,Confidential,,Maadi,Egypt,Full Time,Experienced,3,8,,Wuzzuf,Creative,Design,Marketing/PR/Advertising,Media/Journalism/Publishing,Graphic Design,Adobe Photoshop,Adobe Illustrator,,,,,,
Senior Graphic Designer,Artal Egypt,,New Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,Creative,Adobe illustrator,Adobe illustrator,Advertising,Advertising,Graphic,Creative,,,,,,
Senior Social Media Designer - Alexandria,Madar Soft,,Fleming,Egypt,Full Time,Experienced,3,4,,Wuzzuf,Creative,Design,Marketing/PR/Advertising,Media/Journalism/Publishing,Digital,Graphic Design,Marketing,,,,,,
ERP Analyst,Property Finder Group,,Cairo,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Accounting,Software Development,,,Accounting,Financial Analysis,ERP,,,,,,
Showroom Manager,SEDA,,6th of October,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Creative,Sales,Marketing/PR/Advertising,Sales/Retail,sales skills,Showroom,Customer Service,,,,,,
Social Media Designer,Creativo Agency,,Montaza,Egypt,Full Time,Experienced,2,6,,Wuzzuf,Creative,Social Media,Marketing/PR/Advertising,Media/Journalism/Publishing,Marketing,Graphic Design,Motion Design,,,,,,
