Title,Company Name,Area,Governorate,Country,Job Type,Experience Level,Min Yrs of Excperience,Max Yrs of Experience,Gender,Source,Skills - 1,Skills - 1.1,Skills - 1.2,Skills - 1.3,Skills - 2,Skills - 2.1,Skills - 3,Skills - 3.1,Skills - 3.2,Skills - 3.3,Skills - 4,Skills - 5,Skills - 6
Senior Sales Engineer,Green MEA,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,IT,Software Development,,sales performance,,Sales,Retail,,,Engineering - Telecom/Technology,B2B sales,IT Sales,
Senior Sales Representative,Superior Business Solutions,,Cairo,Egypt,Full Time,Experienced,2,7,,Wuzzuf,IT,Software Development,,Software Sales,,Sales,Retail,,,Pharmaceutical,HealthCare,Sales,
Senior Sales Specialist,Appika,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,IT,Software Development,,business,,Marketing,PR,Advertising,,Sales/Retail,Sales Target,sales skills,
Senior Software Engineer,Expand Cart,,Giza,Egypt,Full Time,Experienced,3,,,Wuzzuf,IT,Software Development,,Laravel,,Engineering,Telecom,Technology,,Laravel,JavaScript,React,
Senior Software Engineer,Azentio Software,,Cairo,Egypt,Full Time,Experienced,5,8,,Wuzzuf,IT,Software Development,,HTML5,,Engineering,Telecom,Technology,,HTML5,Computer Science,Information Technology (IT),
Senior Software Engineer,Nasps,,Cairo,Egypt,Full Time,Experienced,4,8,,Wuzzuf,IT,Software Development,,Angular,,Engineering,Telecom,Technology,,Angular,Computer Science,EMV,
Senior Software Engineer,Smartera 3S,,Alexandria,Egypt,Full Time,Experienced,3,6,,Wuzzuf,IT,Software Development,,Computer Science,,Engineering,Telecom,Technology,,Computer Science,Software Development,Java,
Senior Software Engineer,Softec Technologies,,Cairo,Egypt,Full Time,Experienced,3,,,Wuzzuf,IT,Software Development,,Information Technology (IT),,Engineering,Telecom,Technology,,Information Technology (IT),Computer Science,Software Development,
Senior Scrum Master,Ejada (Cairo),,Cairo,Egypt,Full Time,Experienced,5,8,,Wuzzuf,IT,Software Development,,Computer Science,,Engineering,Telecom,Technology,,Computer Science,Information Technology (IT),Computer Engineering,
"Senior Software Engineer "" PHP """,Unifonic,,Cairo,Egypt,Full Time,Experienced,7,10,,Wuzzuf,IT,Software Development,,PHP,,Engineering,Telecom,Technology,,PHP,Symfony,Agile,
Senior Software Engineer ( Java & Angular ),A1Softech,,Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,IT,Software Development,,Angular,,Engineering,Telecom,Technology,,Angular,HTML5,Information Technology (IT),
Senior Software Engineer (Java EE),ISFP,,Alexandria,Egypt,Full Time,Experienced,4,6,,Wuzzuf,IT,Software Development,,Java EE,,Engineering,Telecom,Technology,,Java EE,Information Technology (IT),Computer Science,
Senior Software Engineer /.NET/Payment,PaySky,,Cairo,Egypt,Full Time,Experienced,3,6,,Wuzzuf,IT,Software Development,,Information Technology (IT),,Engineering,Telecom,Technology,,Information Technology (IT),Computer Engineering,.NET,
Senior Software Engineer C++,FlairsTech,,Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,IT,Software Development,,HTML,,Engineering,Telecom,Technology,,HTML,JavaScript,ASP.Net,
Senior Software Engineer-Java,Azentio Software,,Cairo,Egypt,Full Time,Experienced,5,8,,Wuzzuf,IT,Software Development,,JavaScript,,Engineering,Telecom,Technology,,JavaScript,Software Development,jQuery,
Senior Software Java Developer (J2EE),ITS,,Cairo,Egypt,Full Time,Experienced,3,6,,Wuzzuf,IT,Software Development,,Computer Science,,Engineering,Telecom,Technology,,Computer Science,Computer Engineering,J2EE,
Senior Software Tester,E3mel Business for Financial & Managerial Consultancy,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,IT,Software Development,,Automation,,Engineering,Telecom,Technology,,Automation,Computer Science,Information Technology (IT),
Senior Spring-Boot Developer,SSC Egypt,,Cairo,Egypt,Full Time,Experienced,4,,,Wuzzuf,IT,Software Development,,Spring Boot,,Engineering,Telecom,Technology,,Spring Boot,Agile,Microservices,
Senior SQL Developer,FlairsTech,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,IT,Software Development,,MS SQL,,Engineering,Telecom,Technology,,MS SQL,SSRS,SSIS,
Senior Technical Consultant,Azentio Software,,Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,IT,Software Development,,ASP.Net,,Engineering,Telecom,Technology,,ASP.Net,Oracle,SQL,
Senior Technical Lead (Java Spring Boot),Confidential,,Cairo,Egypt,Full Time,Manager,8,,,Wuzzuf,IT,Software Development,,Spring Boot,,Engineering,Telecom,Technology,,Spring Boot,Microservices,Microservice Architecture,
Senior TypeScript/ Node JS Developer,FlairsTech,,Cairo,Egypt,Full Time,Experienced,3,,,Wuzzuf,IT,Software Development,,AWS,,Engineering,Telecom,Technology,,AWS,Software,Full Stack,
Senior VB6 Developer,Naba Soft,,Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,IT,Software Development,,VB 6,,Engineering,Telecom,Technology,,VB 6,VB,Software Development,
Senior Voice Software Engineer,Unifonic,,Cairo,Egypt,Work From Home,Experienced,5,15,,Wuzzuf,IT,Software Development,,Asterisk,,Engineering,Telecom,Technology,,Asterisk,AWS,Python,
Senior Vue Developer,Our Education,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,IT,Software Development,,Information Technology (IT),,Engineering,Telecom,Technology,,Information Technology (IT),CSS,javaScript,
Senior Web Developer,Kaii Lab,,Giza,Egypt,Full Time,Experienced,2,,,Wuzzuf,IT,Software Development,,Computer Science,,Engineering,Telecom,Technology,,Computer Science,CSS3,HTML5,
Senior Web Developer,Flojics,,Cairo,Egypt,Full Time,Experienced,5,10,,Wuzzuf,IT,Software Development,,Git,,Engineering,Telecom,Technology,,Git,Information Technology (IT),Laravel,
Senior Web Developer,LogicsWare,,Giza,Egypt,Full Time,Experienced,2,,,Wuzzuf,IT,Software Development,,C#,,Engineering,Telecom,Technology,,C#,.NET,C#.Net,
Senior Web Developer,EEC Group,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,IT,Software Development,,Computer Engineering,,Engineering,Telecom,Technology,,Computer Engineering,Computer Science,Information Technology (IT),
Senior Web Developer (E-commerce Experience),Corporate Stack Solutions,,Cairo,Egypt,Full Time,Manager,6,,,Wuzzuf,IT,Software Development,,CSS,,Engineering,Telecom,Technology,,CSS,E-Commerce,jQuery,
Senior Wordpress Developer,Evolvice GmbH,,Cairo,Egypt,Full Time,Experienced,6,,,Wuzzuf,IT,Software Development,,PHP,,Engineering,Telecom,Technology,,PHP,Agile,English,
Senior WordPress Developer,Roaa Tech,,Cairo,Egypt,Full Time,Experienced,4,,,Wuzzuf,IT,Software Development,,WordPress,,Engineering,Telecom,Technology,,WordPress,WordPress Development,plugins,
Senior.Net Developer,ICIS,,Cairo,Egypt,Full Time,Experienced,3,,,Wuzzuf,IT,Software Development,,Engineering,,Engineering,Telecom,Technology,,Engineering,Computer Science,Information Technology (IT),
Senior.NET Developer,Elibre DMCC Egypt,,Cairo,Egypt,Full Time,Experienced,3,,,Wuzzuf,IT,Software Development,,.NET,,Engineering,Telecom,Technology,,.NET,JS,CSS,
Senior.Net Developer,FlairsTech,,Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,IT,Software Development,,Computer Science,,Engineering,Telecom,Technology,,Computer Science,Software Development,Information Technology (IT),
Sharepoint Developer,Perfect Presentation,,Giza,Egypt,Full Time,Experienced,2,,,Wuzzuf,IT,Software Development,,Sharepoint,,Engineering,Telecom,Technology,,Sharepoint,Software Development,Information Technology (IT),
Software Brand Manager ,Caduceus Lane,,Alexandria,Egypt,Full Time,Manager,8,10,,Wuzzuf,IT,Software Development,,Business Management,,Marketing,PR,Advertising,,Business Management,Restaurant management software,Project Management,
Software Business Analyst,"qTech. ""AlQemam""",,Dakahlia,Egypt,Full Time,Entry Level,1,,,Wuzzuf,IT,Software Development,,Software Analysis,,Analyst,Research,,,Engineering - Telecom/Technology,Analysis,Software Development,
Software Business Analyst,Smart Link,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,IT,Software Development,,Analysis,,Engineering,Telecom,Technology,,Analysis,business,Business Analysis,
Software Business Analyst,Excel Systems,,Giza,Egypt,Full Time,Experienced,2,,,Wuzzuf,IT,Software Development,,Analysis,,Analyst,Research,,,Engineering - Telecom/Technology,Agile,Business Analysis,
Software Business Analyst,Our Education,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,IT,Software Development,,Agile,,Analyst,Research,,,Engineering - Telecom/Technology,business,Business Analysis,
Software C/C++ Developer,SURE International Technology,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,IT,Software Development,,Application Development,,Engineering,Telecom,Technology,,Application Development,Software Engineering,Software Development,
Senior System Analyst,Rasan,,Cairo,Egypt,Full Time,Experienced,4,8,,Wuzzuf,IT,Software Development,,Agile,,Analyst,Research,,,Engineering - Telecom/Technology,Analysis,Computer Science,
Senior System Analyst,Confidential,,Cairo,Egypt,Full Time,Experienced,5,8,,Wuzzuf,IT,Software Development,,Analysis,,Analyst,Research,,,Engineering - Telecom/Technology,Computer Science,Information Technology (IT),
Senior System Analyst,Pylon UMP,,Cairo,Egypt,Full Time,Experienced,4,6,,Wuzzuf,IT,Software Development,,Analyst,,Analyst,Research,,,Engineering - Telecom/Technology,Computer Science,System Analyst,
Senior System Engineer,QuadraTech for Information Technology,,Cairo,Egypt,Full Time,Experienced,5,7,,Wuzzuf,IT,Software Development,,Engineering,,Engineering,Telecom,Technology,,Engineering,Information Technology (IT),telecommunications,
Senior Systems & Computing Services Engineer,British University of Egypt,,Cairo,Egypt,Full Time,Experienced,5,8,,Wuzzuf,IT,Software Development,,Information Technology (IT),,Engineering,Telecom,Technology,,Information Technology (IT),Computer Science,TCP/IP,
Software Developer,Block Gemini,,Cairo,Egypt,Full Time,Experienced,4,10,,Wuzzuf,IT,Software Development,,Angular,,Engineering,Telecom,Technology,,Angular,APIs,Information Technology (IT),
Software Developer,Mazzika Group,,Giza,Egypt,Full Time,Experienced,2,3,,Wuzzuf,IT,Software Development,,Information Technology (IT),,Engineering,Telecom,Technology,,Information Technology (IT),Computer Science,Software Development,
Senior Telecom Engineer,ECCA Group,,Giza,Egypt,Full Time,Experienced,2,3,,Wuzzuf,IT,Software Development,,Engineering,,Engineering,Telecom,Technology,,Engineering,Project Management,Communication,
Software Developer,Edge Pro for Information Systems,,Cairo,Egypt,Full Time,Entry Level,0,1,,Wuzzuf,IT,Software Development,,Computer Science,,Engineering,Telecom,Technology,,Computer Science,.Net,ASP.Net,
Software Developer,Allianz,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,IT,Software Development,,Information Technology (IT),,Engineering,Telecom,Technology,,Information Technology (IT),Computer Science,Software Engineering,
Software Developer,I Techpro,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,IT,Software Development,,Software Development,,Engineering,Telecom,Technology,,Software Development,Software Engineering,developer,
Senior Voip Engineer,Confidential,,Cairo,Egypt,Full Time,Experienced,3,6,,Wuzzuf,IT,Software Development,,Linux,,Engineering,Telecom,Technology,,Linux,Debian,Ubuntu,
Software Developer,Sega_m,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,IT,Software Development,,Information Technology (IT),,Engineering,Telecom,Technology,,Information Technology (IT),Software Development,SQL,
Software Developer,Confidential,,Giza,Egypt,Full Time,Experienced,2,3,,Wuzzuf,IT,Software Development,,Computer Engineering,,Engineering,Telecom,Technology,,Computer Engineering,Computer Science,Software Development,
Software Developer,Trufla,,Cairo,Egypt,Internship,Entry Level,0,1,,Wuzzuf,IT,Software Development,,Software Development,,Engineering,Telecom,Technology,,Software Development,Software Engineering,Information Technology (IT),
Software Developer,Future Solutions,,Alexandria,Egypt,Full Time,Experienced,3,7,,Wuzzuf,IT,Software Development,,SQL,,Engineering,Telecom,Technology,,SQL,Software Development,C#,
Software Developer,Flojics,,Alexandria,Egypt,Full Time,Experienced,3,20,,Wuzzuf,IT,Software Development,,Agile,,Engineering,Telecom,Technology,,Agile,React,HTML,
Software Developer,Datum International Data Systems,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,IT,Software Development,,.Net,,Engineering,Telecom,Technology,,.Net,Android,ASP.Net,
Software Developer – Microsoft Dynamics CRM,Veripark,,Cairo,Egypt,Full Time,Experienced,5,7,,Wuzzuf,IT,Software Development,,Software Development,,Engineering,Telecom,Technology,,Software Development,Computer Science,Information Technology (IT),
Software Developer (Gupta Programming),ITS,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,IT,Software Development,,Computer Science,,Engineering,Telecom,Technology,,Computer Science,Computer Engineering,Information Technology (IT),
Software Developer / Desktop Development,ITS,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,IT,Software Development,,Computer Science,,Engineering,Telecom,Technology,,Computer Science,Information Technology (IT),Software Development,
Software Development,Veripark,,Cairo,Egypt,Full Time,Manager,8,15,,Wuzzuf,IT,Software Development,,C#,,Engineering,Telecom,Technology,,C#,JavaScript,Typescript,
Software Development (Back End .Net) Team Lead/ Payment,PaySky,,Cairo,Egypt,Full Time,Manager,5,10,,Wuzzuf,IT,Software Development,,Information Technology (IT),,Engineering,Telecom,Technology,,Information Technology (IT),Computer Science,Software Development,
Service Desk Agent,e-finance,,Giza,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,IT,Software Development,,Computer Science,,Engineering,Telecom,Technology,,Computer Science,Customer Service,Technical Support,
Software Development Engineer,Talaat Moustafa Group,,Cairo,Egypt,Full Time,Experienced,2,5,,Wuzzuf,IT,Software Development,,Angular,,Engineering,Telecom,Technology,,Angular,Computer Science,Design,
Sharpoint Application Designer,Confidential,,Cairo,Egypt,Freelance / Project,Experienced,3,5,,Wuzzuf,IT,Software Development,,.Net,,Engineering,Telecom,Technology,,.Net,ASP.Net,HTML5,
Siebel Consultant,Confidential,,Alexandria,Egypt,Full Time,Experienced,5,15,,Wuzzuf,IT,Software Development,,developer,,Engineering,Telecom,Technology,,developer,Information Technology (IT),Software Development,
SIS Officer,El Sewedy Education The Knowledge Hub Universities,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,IT,Software Development,,Computer Engineering,,Engineering,Telecom,Technology,,Computer Engineering,Computer Science,LMS,
SOC Engineer,Link Datacenter,,Giza,Egypt,Full Time,Experienced,2,,,Wuzzuf,IT,Software Development,,Computer Science,,Engineering,Telecom,Technology,,Computer Science,Computer Engineering,Information Security,
SOC L1 Engineer,ZINAD IT,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,IT,Software Development,,Networking,,Engineering,Telecom,Technology,,Networking,Helpdesk support,Information Technology (IT),
Software Development Manager,OdooTec,,Cairo,Egypt,Full Time,Manager,10,15,,Wuzzuf,IT,Software Development,,Information Technology (IT),,Engineering,Telecom,Technology,,Information Technology (IT),MVC,Software Engineering,
Software Development Manager,Estafsar,,Cairo,Egypt,Full Time,Manager,5,10,,Wuzzuf,IT,Software Development,,SaaS,,Engineering,Telecom,Technology,,SaaS,Software Development,Information Technology (IT),
Software Development Manager,Vantazia,,Cairo,Egypt,Full Time,Manager,5,,,Wuzzuf,IT,Software Development,,Computer Science,,Engineering,Telecom,Technology,,Computer Science,Development,Information Technology (IT),
Software Development Specialist,Raya Customer Experience,,Giza,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,IT,Software Development,,jQuery,,Engineering,Telecom,Technology,,jQuery,Laravel,MySQL,
Software Development Team Lead,Eden Solutions,,Cairo,Egypt,Full Time,Manager,2,6,,Wuzzuf,IT,Software Development,,MongoDB,,Engineering,Telecom,Technology,,MongoDB,React Native,Bootstrap,
Software Development Tech Lead – Microsoft Dynamics CRM/CE,Veripark,,Cairo,Egypt,Full Time,Manager,8,15,,Wuzzuf,IT,Software Development,,CRM,,Engineering,Telecom,Technology,,CRM,D365,Information Technology (IT),
Software Engineer,Pencil,,Cairo,Egypt,Full Time,Experienced,2,5,,Wuzzuf,IT,Software Development,,front-end,,Engineering,Telecom,Technology,,front-end,Software Development,MEAN Stack,
Software Engineer,Tahaluf Al Emarat Technical Solutions,,Cairo,Egypt,Full Time,Experienced,3,,,Wuzzuf,IT,Software Development,,Computer Engineering,,Engineering,Telecom,Technology,,Computer Engineering,Software Development,Information Technology (IT),
Software Engineer,Expand Cart,,Giza,Egypt,Full Time,Entry Level,1,,,Wuzzuf,IT,Software Development,,backend,,Engineering,Telecom,Technology,,backend,Computer Science,Development,
Software Engineer,Nacita,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,IT,Software Development,,Computer Science,,Engineering,Telecom,Technology,,Computer Science,Information Technology (IT),Software Development,
Software Engineer,ZINAD IT,,Giza,Egypt,Full Time,Experienced,2,4,,Wuzzuf,IT,Software Development,,Computer Science,,Engineering,Telecom,Technology,,Computer Science,Information Technology (IT),Computer Engineering,
Software Engineer,Remotebase,,Cairo,Egypt,Full Time,Experienced,3,4,,Wuzzuf,IT,Software Development,,HTML5,,Engineering,Telecom,Technology,,HTML5,CSS3,SaaS,
Software Engineer,Al Ahly Capital Holding,,Cairo,Egypt,Full Time,Experienced,2,5,,Wuzzuf,IT,Software Development,,.Net,,Engineering,Telecom,Technology,,.Net,Oracle PL/SQL,APIs,
Software Engineer (WordPress),LavaLoon,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,IT,Software Development,,JavaScript,,Engineering,Telecom,Technology,,JavaScript,PHP,WordPress,
Software Engineering Consultant (Fin-Tech),SSC Egypt,,Cairo,Egypt,Full Time,Experienced,2,,,Wuzzuf,IT,Software Development,,C,,Engineering,Telecom,Technology,,C,Information Technology (IT),Microsoft SQL,
Software Pre Sales Specialist,Tidal,,Cairo,Egypt,Full Time,Experienced,3,,,Wuzzuf,IT,Software Development,,Communication,,Sales,Retail,,,Engineering - Telecom/Technology,Software Sales,Marketing,
Software Product Manager,Atomica,,Cairo,Egypt,Full Time,Experienced,3,6,,Wuzzuf,IT,Software Development,,Agile Development,,Marketing,PR,Advertising,,Agile Development,Communication,Development,
Software Quality Engineer,ZINAD IT,,Giza,Egypt,Full Time,Experienced,5,7,,Wuzzuf,IT,Software Development,,Software,,Engineering,Telecom,Technology,,Software,Git,Software Engineering,
Software Sales,DMS,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,IT,Software Development,,HIS,,Sales,Retail,,,HIS,ERP,Computer Science,
Software Sales Engineer,Confidential,,Cairo,Egypt,Full Time,Entry Level,1,6,,Wuzzuf,IT,Software Development,,Software,,Sales,Retail,,,Engineering - Telecom/Technology,Sales,Information Technology (IT),
Software Sales Executive,BI-Technologies,,Cairo,Egypt,Full Time,Entry Level,1,,,Wuzzuf,IT,Software Development,,Sales,,Sales,Retail,,,Engineering - Telecom/Technology,IT,Software Sales,
Software Sales Executive,Confidential,,Alexandria,Egypt,Full Time,Entry Level,1,5,,Wuzzuf,IT,Software Development,,Communication,,Sales,Retail,,,Engineering - Telecom/Technology,Communication skills,Industry,
Software Sales Manager,Charisma Design,,Cairo,Egypt,Full Time,Manager,3,6,,Wuzzuf,IT,Software Development,,Management,,Sales,Retail,,,Management,business,Sales Target,
Software Sales Representative,LOGIC smart business solutions,,Giza,Egypt,Full Time,Entry Level,1,5,,Wuzzuf,IT,Software Development,,Sales,,Sales,Retail,,,Sales,Sales Skills,Sales Target,
Software Sales Representative,Rowaad,,Cairo,Egypt,Full Time,Experienced,2,,,Wuzzuf,IT,Software Development,,Engineering,,Sales,Retail,,,Engineering,Sales,Sales Skills,
Software Sales Representative ,3S Software,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,IT,Software Development,,Software Sales,,Sales,Retail,,,Software Sales,Sales,Sales Target,
Software Sales Specialist,Codesign82,,Giza,Egypt,Full Time,Experienced,2,,,Wuzzuf,IT,Software Development,,Information Technology (IT),,Marketing,PR,Advertising,,Sales/Retail,Software,Sales Specialist,
Software sales specialist,DewanSoft,,Giza,Egypt,Full Time,Experienced,1,4,,Wuzzuf,IT,Software Development,,Customer Service,,Sales,Retail,,,Customer Service,Sales,Sales Target,
Software Sales Specialist ,Denizey software platform,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,IT,Software Development,,Software Development,,Sales,Retail,,,Engineering - Telecom/Technology,Software Sales,Sales,
Software Sales Specialist ( Outdoor ),Magdsoft,,Cairo,Egypt,Full Time,Entry Level,1,,,Wuzzuf,IT,Software Development,,Information Technology (IT),,Sales,Retail,,,Engineering - Telecom/Technology,Sales,IT Sales,
Software Sales Specialist.,Callvita,,Cairo,Egypt,Full Time,Experienced,3,,,Wuzzuf,IT,Software Development,,Sales Skills,,Sales,Retail,,,Sales Skills,Sales Target,Software,
Software Sales Supervisor,Weelo,,Cairo,Egypt,Full Time,Manager,2,5,,Wuzzuf,IT,Software Development,,Sales Supervisor,,Sales,Retail,,,Sales Supervisor,Information Technology (IT),Software Sales,
Software Support Engineer,Dynamic Technology,,Cairo,Egypt,Full Time,Experienced,2,5,,Wuzzuf,IT,Software Development,,Git,,Engineering,Telecom,Technology,,Git,Docker,Computer Science,
Software Support Team Leader,ZINAD IT,,Giza,Egypt,Full Time,Experienced,5,7,,Wuzzuf,IT,Software Development,,Communication,,Engineering,Telecom,Technology,,Communication,Communication skills,Customer Support,
Software Technical Lead,Brmaja,,Cairo,Egypt,Full Time,Manager,7,10,,Wuzzuf,IT,Software Development,,Software Development,,Engineering,Telecom,Technology,,Software Development,.Net Development,Full Stack Development,
Software Tester,Talaat Moustafa Group,,Cairo,Egypt,Full Time,Entry Level,1,4,,Wuzzuf,IT,Software Development,,computer,,Engineering,Telecom,Technology,,computer,Computer Science,Development,
Software Testing Team Leader,Testing Geeks,,Giza,Egypt,Full Time,Manager,8,,,Wuzzuf,IT,Software Development,,Computer Science,,Engineering,Telecom,Technology,,Computer Science,Information Technology (IT),Software Development,
Software Trainer,justagain,,Cairo,Egypt,Full Time,Entry Level,2,3,,Wuzzuf,IT,Software Development,,Training,,Training,Instructor,,,Training,ERP Applications,Software Trainer,
Solution Developer,Fixed Solutions,,Cairo,Egypt,Full Time,Entry Level,0,1,,Wuzzuf,IT,Software Development,,APIs,,Engineering,Telecom,Technology,,APIs,Computer Science,CSS,
SQL Server DBA,Union Coop,,Giza,Egypt,Full Time,Experienced,5,8,,Wuzzuf,IT,Software Development,,Computer Science,,Engineering,Telecom,Technology,,Computer Science,Database,database administration,
Sr. Backend Developer,Confidential,,Alexandria,Egypt,Full Time,Experienced,5,6,,Wuzzuf,IT,Software Development,,Computer Engineering,,Engineering,Telecom,Technology,,Computer Engineering,JavaScript,jQuery,
Sr. Backend Engineer,Kashat,,Giza,Egypt,Full Time,Experienced,4,6,,Wuzzuf,IT,Software Development,,Java,,Engineering,Telecom,Technology,,Java,Computer Engineering,Computer Science,
Software Sales Account Manager,Roaya,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,IT,Software Development,,Cloud Solutions,,Sales,Retail,,,Engineering - Telecom/Technology,Information Technology (IT),Cloud,
Sr. Flutter Developer,Ashtar.app,,Cairo,Egypt,Full Time,Experienced,3,7,,Wuzzuf,IT,Software Development,,Android,,Engineering,Telecom,Technology,,Android,iOS,flutter,
Sr. Frontend Developer,Confidential,,Alexandria,Egypt,Full Time,Experienced,5,6,,Wuzzuf,IT,Software Development,,Angular,,Engineering,Telecom,Technology,,Angular,Computer Engineering,Computer Science,
Sr. Full Stack PHP Developer,Luftborn,,Cairo,Egypt,Full Time,Experienced,3,7,,Wuzzuf,IT,Software Development,,Laravel,,Engineering,Telecom,Technology,,Laravel,PHP,Software Development,
Sr. iOS Developer,Centro CDX,,Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,IT,Software Development,,Mobile Development,,Engineering,Telecom,Technology,,Mobile Development,iOS,Swift,
Sr. Mobile App Developer,Confidential,,Alexandria,Egypt,Full Time,Experienced,4,5,,Wuzzuf,IT,Software Development,,Android,,Engineering,Telecom,Technology,,Android,Computer Science,Information Technology (IT),
Sr. Mobile App Developer,Confidential,,Alexandria,Egypt,Full Time,Experienced,4,5,,Wuzzuf,IT,Software Development,,iOS,,Engineering,Telecom,Technology,,iOS,Mobile Development,Information Technology (IT),
Sr. Software Business Analyst,Dynamic Technology,,Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,IT,Software Development,,Business Analyst,,Analyst,Research,,,Engineering - Telecom/Technology,Computer Science,Business Analysis,
Sr. Software Engineer ( .Net Developer),Confidential,,Cairo,Egypt,Full Time,Experienced,4,6,,Wuzzuf,IT,Software Development,,ASP.Net Web API,,Engineering,Telecom,Technology,,ASP.Net Web API,Software Development,,
Sr. Software Engineer / Java Developer,CONNECT Professional Services,,Cairo,Egypt,Full Time,Experienced,3,6,,Wuzzuf,IT,Software Development,,HTML5,,Engineering,Telecom,Technology,,HTML5,CSS3,JavaScript,
Sr.Android Developer,Souhoola,,Cairo,Egypt,Full Time,Experienced,3,7,,Wuzzuf,IT,Software Development,,Android,,Engineering,Telecom,Technology,,Android,Agile,Computer Science,
Sr.iOS Developer,Souhoola,,Cairo,Egypt,Full Time,Experienced,3,7,,Wuzzuf,IT,Software Development,,Agile,,Engineering,Telecom,Technology,,Agile,Computer Science,Development,
Staff Backend Engineer,Nana,,Cairo,Egypt,Full Time,Experienced,8,,,Wuzzuf,IT,Software Development,,Computer Science,,Engineering,Telecom,Technology,,Computer Science,Information Technology (IT),API,
Staff Software Engineer,Kashier Payment Solutions,,Cairo,Egypt,Full Time,Manager,7,,,Wuzzuf,IT,Software Development,,Agile,,Engineering,Telecom,Technology,,Agile,Computer Science,Information Technology (IT),
Staff Software Engineer,Unifonic,,Cairo,Egypt,Full Time,Experienced,9,,,Wuzzuf,IT,Software Development,,Information Technology (IT),,Engineering,Telecom,Technology,,Information Technology (IT),Java,MySQL,
Standard Embedded Software Engineer,Fawry Banking & Payment Technology Services,,Giza,Egypt,Full Time,Experienced,2,4,,Wuzzuf,IT,Software Development,,Information Technology (IT),,Engineering,Telecom,Technology,,Information Technology (IT),C,Computer Science,
System Architects / DevOps Engineer,Mobile Wave 3,,Cairo,Egypt,Full Time,Experienced,5,7,,Wuzzuf,IT,Software Development,,CI,CD,Engineering,Telecom,Technology,,CI/CD,Linux,Bash,
System Developer,Egyptian Micro Solutions,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,IT,Software Development,,Computer Science,,Engineering,Telecom,Technology,,Computer Science,Software Development,MS SQL,
"Systems Analyst, IT",ITS,,Cairo,Egypt,Full Time,Experienced,5,8,,Wuzzuf,IT,Software Development,,CISM,,Analyst,Research,,,Engineering - Telecom/Technology,CRISC,Information Technology (IT),
Team lead / Full stack .NET Developer,Daily EDI,,Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,IT,Software Development,,ASP.Net,,Engineering,Telecom,Technology,,ASP.Net,.Net,Azure,
Solution Architect,Block Gemini,,Cairo,Egypt,Full Time,Experienced,8,20,,Wuzzuf,IT,Software Development,,Information Technology (IT),,Engineering,Telecom,Technology,,Information Technology (IT),Software Engineering,Software,
Solution Architect,Alkan CIT,,Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,IT,Software Development,,Solution Architecture,,Engineering,Telecom,Technology,,Solution Architecture,Enterprise Architect,Architecture,
Solution Architect,Caelum Egypt,,Giza,Egypt,Full Time,Experienced,3,5,,Wuzzuf,IT,Software Development,,Azure,,Engineering,Telecom,Technology,,Azure,Cloud,Communication skills,
Solution Architect,Confidential,,Cairo,Egypt,Full Time,Experienced,3,6,,Wuzzuf,IT,Software Development,,Engineering,,Engineering,Telecom,Technology,,Engineering,Cloud,Information Technology (IT),
