Title,Company Name,Governorate,Country,Job Type,Experience Level,Min Yrs of Excperience,Max Yrs of Experience,Source,Skills - 1,Skills - 1.1,Skills - 1.2,Skills - 1.3,Skills - 2,Skills - 2.1,Skills - 3,Skills - 3.1,Skills - 3.2,Skills - 3.3,Skills - 4,Skills - 5,Skills - 6
Sales Administrator,IEGco,15th May City,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,Business Development,Indoor Sales,Sales/Retail,Indoor Sales,Outdoor Sales,Sales Planning,Sales,None,None,None,None,None,None
Sales Engineer - Electrical / Lighting,Andalus Electrical solutions,New Cairo,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,Business Development,Electrical,Sales/Retail,Engineering - Mechanical/Electrical,Lighting,Sales,Electrical Engineering,None,None,None,None,None,None
Sales Executive,Fawry Banking & Payment Technology Services,Smart Village,Egypt,Full Time,Entry Level,1.0,0.0,Wuzzuf,Business Development,Sales,Sales/Retail,Sales,Sales Target,Communication,Telesales,None,None,None,None,None,None
Sales Executive (Textile),Rayman Consulting & Recruiting,Nozha,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,Business Development,CRM,Customer Service/Support,Sales/Retail,Sales,sales skills,Sales Target,None,None,None,None,None,None
Sales Marketing Executive,okyanos middle east,Glim,Egypt,Full Time,Experienced,2.0,7.0,Wuzzuf,Business Development,sales skills,Creative/Design/Art,sales skills,Sales Target,Marketing,Negotiation,None,None,None,None,None,None
Sales Representative,Spider Technology,Dokki,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Business Development,Sales,IT/Software Development,Sales/Retail,Marketing,Outdoor Sales,Sales Planning,None,None,None,None,None,None
Sales Representative (Cairo),Digitec,Cairo,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,Business Development,Sales,Sales/Retail,Sales,Sales Skills,Sales Target,Business Development,None,None,None,None,None,None
ERP Technical Support (Help Desk ),Itroots,Dakahlia,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Sales Executive,DM Arts,Cairo,Egypt,Full Time,Experienced,3.0,0.0,Wuzzuf,Business Development,Business Development,Marketing/PR/Advertising,Sales/Retail,Marketing,Advertising,Lead Generation,None,None,None,None,None,None
Senior Sales Executive,Coach Academy,Mokattam,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Business Development,Computer Science,Sales/Retail,Engineering - Telecom/Technology,Sales,Customer Support,Sales Field,None,None,None,None,None,None
