Title,Company Name,Governorate,Country,Job Type,Experience Level,Min Yrs of Excperience,Max Yrs of Experience,Source,Skills - 1,Skills - 1.1,Skills - 1.2,Skills - 1.3,Skills - 2,Skills - 2.1,Skills - 3,Skills - 3.1,Skills - 3.2,Skills - 3.3,Skills - 4,Skills - 5,Skills - 6
.Net Developer,Confidential,Haram,Egypt,Full Time,Experienced,4.0,0.0,Wuzzuf,IT,Software Development,None,None,None,None,.Net,Engineering - Telecom/Technology,.Net,Computer Science,Information Technology (IT),jQuery,None
Technology Engineer,Arx Egypt,Cairo,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Installation,Maintenance,None,Computer Science,None,IT,Software Development,None,None,Engineering - Telecom/Technology,Information Technology (IT),Network,None
Testing Commissioning Engineer,AL MASHARIQ,Cairo,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,Installation,Maintenance,None,Commissioning,None,Engineering,Mechanical,Electrical,None,Commissioning,testing,Construction,None
Utility Engineer,Elif Global,Giza,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Installation,Maintenance,None,Engineering,None,Engineering,Mechanical,Electrical,None,Engineering,Maintenance,Utilities,None
VMware Infrastructure Engineer,Confidential,Cairo,Egypt,Full Time,Experienced,4.0,6.0,Wuzzuf,Installation,Maintenance,None,Information Technology (IT),None,IT,Software Development,None,None,Engineering - Telecom/Technology,Vmware,Dell Computing Servers,None
Warranty & TAC Engineer,Al-Mansour,Alexandria,Egypt,Full Time,Experienced,2.0,4.0,Wuzzuf,Installation,Maintenance,None,Engineering,None,Engineering,Mechanical,Electrical,None,Engineering,Mechanical Engineering,Warranty,None
WebLogic Server Administrator,Confidential,Cairo,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,Installation,Maintenance,None,Oracle Weblogic,None,IT,Software Development,None,None,Engineering - Telecom/Technology,Server Administration,Administration,None
Workshop Engineer,Dokkan Auto service,Cairo,Egypt,Full Time,Experienced,5.0,10.0,Wuzzuf,Installation,Maintenance,None,Maintenance,None,Engineering,Mechanical,Electrical,None,Maintenance,Mechanical Engineering,Workshop,None
.NET Developer (.Net Core + MVC),Fawry Banking & Payment Technology Services,Giza,Egypt,Full Time,Experienced,2.0,4.0,Wuzzuf,IT,Software Development,None,Information Technology (IT),None,Engineering,Telecom,Technology,None,Information Technology (IT),Software Development,.NET,None
.Net Back End Developer,Sudo Roux,Cairo,Egypt,Full Time,Experienced,8.0,0.0,Wuzzuf,IT,Software Development,None,asp.net,None,Engineering,Telecom,Technology,None,asp.net,.net,c#,None
.Net Developer Team leader,Confidential,Cairo,Egypt,Full Time,Manager,6.0,8.0,Wuzzuf,IT,Software Development,None,Agile,None,Engineering,Telecom,Technology,None,Agile,ASP.Net,Computer Science,None
.Net Full Stack Developer,Nile University,Giza,Egypt,Full Time,Experienced,2.0,3.0,Wuzzuf,IT,Software Development,None,jQuery,None,Engineering,Telecom,Technology,None,jQuery,MVC,Computer Science,None
.NET Full Stack Team Lead,Excel Systems,Giza,Egypt,Full Time,Manager,8.0,0.0,Wuzzuf,IT,Software Development,None,Agile,None,Engineering,Telecom,Technology,None,Agile,.Net,ASP.Net,None
.Net Full-Stack Developer,Procoor,Cairo,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,IT,Software Development,None,ASP.NET,None,Engineering,Telecom,Technology,None,ASP.NET,javaScript,API,None
.NET Lead (Full Time),Confidential,Cairo,Egypt,Full Time,Manager,5.0,10.0,Wuzzuf,IT,Software Development,None,.Net,None,Engineering,Telecom,Technology,None,.Net,Angular,OOP,None
.NET Software Engineer,Forgotten Mines LLC,Cairo,Egypt,Work From Home,Experienced,2.0,0.0,Wuzzuf,IT,Software Development,None,Computer Science,None,Engineering,Telecom,Technology,None,Computer Science,Software Development,.NET,None
.Net Team Lead,Youxel,Cairo,Egypt,Full Time,Manager,8.0,0.0,Wuzzuf,IT,Software Development,None,Information Technology (IT),None,Engineering,Telecom,Technology,None,Information Technology (IT),Computer Science,.Net,None
.NET Team Leader,Alrayda Elkobra,Alexandria,Egypt,Full Time,Manager,7.0,0.0,Wuzzuf,IT,Software Development,None,Information Technology (IT),None,Engineering,Telecom,Technology,None,Information Technology (IT),Computer Science,.Net,None
.NET Team Leader,Confidential,Alexandria,Egypt,Full Time,Manager,3.0,10.0,Wuzzuf,IT,Software Development,None,Software,None,None,None,None,None,None,None,None,None
.Net Team Leader,SURE International Technology,Cairo,Egypt,Full Time,Manager,7.0,10.0,Wuzzuf,IT,Software Development,None,.Net,None,Engineering,Telecom,Technology,None,.Net,ASP.Net,Information Technology (IT),None
.NET Team Leader,DMS,Cairo,Egypt,Full Time,Experienced,5.0,8.0,Wuzzuf,IT,Software Development,None,Computer Science,None,Engineering,Telecom,Technology,None,Computer Science,.NET,C#,None
.Net Team Leader,Amanah,Cairo,Egypt,Full Time,Manager,8.0,11.0,Wuzzuf,IT,Software Development,None,.Net,None,Engineering,Telecom,Technology,None,.Net,Angular,ASP.Net,None
.Net Web Developer,Walan Technology,Cairo,Egypt,Full Time,Experienced,3.0,7.0,Wuzzuf,IT,Software Development,None,C#,None,Engineering,Telecom,Technology,None,C#,Back End,SQL,None
(For USA) Front-End Security Developer,Mobile Wave 3,Cairo,Egypt,Full Time,Experienced,5.0,8.0,Wuzzuf,IT,Software Development,None,JavaScript,None,Engineering,Telecom,Technology,None,JavaScript,Node.js,React.js,None
(PHP Symfony) Back End Developer,Confidential,Cairo,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,IT,Software Development,None,PHP 5,None,Engineering,Telecom,Technology,None,PHP 5,symfony 5,PHP Development,None
AI Software Engineer (Computer Vision Operation Engineer),Tahaluf Al Emarat Technical Solutions,Cairo,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,IT,Software Development,None,Artificial Intelligence (AI),None,Operations/Management,None,None,None,None,None,None,None
"Angular developer, .Net core",Innovent Egypt,Cairo,Egypt,Full Time,Experienced,6.0,15.0,Wuzzuf,IT,Software Development,None,.Net,None,.Net,None,None,None,None,None,None,None
Applications Service Senior Manager,E-Cards,Giza,Egypt,Full Time,Manager,15.0,20.0,Wuzzuf,IT,Software Development,None,Project Management,None,Operations/Management,None,None,None,None,None,None,None
AI Developer,Roots Management Consultants,Giza,Egypt,Full Time,Experienced,4.0,6.0,Wuzzuf,IT,Software Development,None,AI,None,Engineering,Telecom,Technology,None,AI,Algorithms,Artificial Intelligence,None
Android Application Programmer,Confidential,Alexandria,Egypt,Full Time,Experienced,3.0,7.0,Wuzzuf,IT,Software Development,None,Development,None,Engineering,Telecom,Technology,None,Development,Information Technology (IT),Java,None
Android Developer,Orchtech,Giza,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,IT,Software Development,None,Android,None,Engineering,Telecom,Technology,None,Android,Computer Science,Android SDK,None
Android Developer,Ultimate Solutions Egypt,Giza,Egypt,Full Time,Experienced,2.0,3.0,Wuzzuf,IT,Software Development,None,Android,None,Engineering,Telecom,Technology,None,Android,Mobile Development,Andriod Studio,None
Android Developer,Paymob Solutions,Cairo,Egypt,Full Time,Experienced,2.0,4.0,Wuzzuf,IT,Software Development,None,Android,None,Engineering,Telecom,Technology,None,Android,Computer Science,Design,None
Android Developer,Qsource,Giza,Egypt,Full Time,Experienced,2.0,4.0,Wuzzuf,IT,Software Development,None,Android,None,Engineering,Telecom,Technology,None,Android,Software Development,Android Deveolper,None
Android Developer,STC Solutions Egypt,Cairo,Egypt,Full Time,Experienced,4.0,0.0,Wuzzuf,IT,Software Development,None,Information Technology (IT),None,Engineering,Telecom,Technology,None,Information Technology (IT),Agile,Scrum,None
Android Developer,SURE International Technology,Cairo,Egypt,Full Time,Experienced,5.0,8.0,Wuzzuf,IT,Software Development,None,Android,None,Engineering,Telecom,Technology,None,Android,Mobile Development,Software Development,None
Android Developer,Awamer Alshabaka _اوامر الشبكه,Dakahlia,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,IT,Software Development,None,Android,None,Engineering,Telecom,Technology,None,Android,Android SDK,Computer Science,None
Android Developer ( Kotlin ),Confidential,Cairo,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,IT,Software Development,None,Android,None,Engineering,Telecom,Technology,None,Android,Agile,Retrofit,None
Android Developer (Kotlin & Java),SSC Egypt,Cairo,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,IT,Software Development,None,Android,None,Engineering,Telecom,Technology,None,Android,Android studio,Java,None
Android System Developer,Si-Vision,Cairo,Egypt,Freelance / Project,Experienced,2.0,0.0,Wuzzuf,IT,Software Development,None,Android,None,Engineering,Telecom,Technology,None,Android,Android Development,Computer Science,None
Angular Developer,GetTechForce.com,Cairo,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,IT,Software Development,None,Angular,None,Engineering,Telecom,Technology,None,Angular,Agile,Computer Science,None
Angular Developer,SSC Egypt,Cairo,Egypt,Work From Home,Experienced,5.0,0.0,Wuzzuf,IT,Software Development,None,Angular,None,Engineering,Telecom,Technology,None,Angular,Banking,Angular.js,None
Angular Frontend Developer,Confidential,Giza,Egypt,Full Time,Experienced,3.0,0.0,Wuzzuf,IT,Software Development,None,Ajax,None,Engineering,Telecom,Technology,None,Ajax,HTML5,CSS3,None
Application And E-Services Consultant,Perfect Presentation,Giza,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,IT,Software Development,None,Customer Service,None,Engineering,Telecom,Technology,None,Customer Service,Customer Support,Information Technology (IT),None
Application Developer,Mishkat Nour,Cairo,Egypt,Full Time,Experienced,2.0,3.0,Wuzzuf,IT,Software Development,None,Information Technology (IT),None,Engineering,Telecom,Technology,None,Information Technology (IT),Programming,Software Development,None
Application Developer,Promech Engineering,Cairo,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,IT,Software Development,None,Software Development,None,Engineering,Telecom,Technology,None,Software Development,JavaScript,English,None
Application Technical Director,RDI,Giza,Egypt,Full Time,Senior Management,10.0,0.0,Wuzzuf,IT,Software Development,None,Agile,None,Engineering,Telecom,Technology,None,Agile,Application Development,Java,None
Associate Software Engineer,Softec Technologies,Cairo,Egypt,Full Time,Experienced,3.0,4.0,Wuzzuf,IT,Software Development,None,Software Development,None,Engineering,Telecom,Technology,None,Software Development,Software Engineering,Information Technology (IT),None
Access Control Engineer,Quality Egypt,Cairo,Egypt,Full Time,Experienced,3.0,7.0,Wuzzuf,IT,Software Development,None,CCTV,None,Engineering,Telecom,Technology,None,CCTV,Access Control,Engineering,None
Access Control Engineer,AIC Al Maalim International Co.,Cairo,Egypt,Full Time,Experienced,5.0,8.0,Wuzzuf,IT,Software Development,None,Communication skills,None,Engineering,Telecom,Technology,None,Communication skills,Maintenance,Quality Control,None
Access Network Planning Senior Principal Engineer,Etisalat Misr,Cairo,Egypt,Full Time,Experienced,6.0,8.0,Wuzzuf,IT,Software Development,None,Computer Science,None,Engineering,Telecom,Technology,None,Computer Science,Computer Engineering,Communication Engineering,None
Account Manager Mansoura DK,Awamer Alshabaka _اوامر الشبكه,Dakahlia,Egypt,Full Time,Entry Level,1.0,0.0,Wuzzuf,IT,Software Development,None,Customer Service,None,Customer Service,None,None,None,None,None,None,None
AWS DevOps Engineer,dlivr.io,Cairo,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,IT,Software Development,None,AWS,None,Engineering,Telecom,Technology,None,AWS,Linux,YML,None
AX Developer,Confidential,Cairo,Egypt,Full Time,Experienced,2.0,3.0,Wuzzuf,IT,Software Development,None,Computer Science,None,Engineering,Telecom,Technology,None,Computer Science,Dynamics AX,Microsoft Dynamics AX 2012,None
App & Infra Consultant,Global Brands,Cairo,Egypt,Work From Home,Experienced,6.0,0.0,Wuzzuf,IT,Software Development,None,Azure,None,Azure,None,None,None,None,None,None,None
AX Developer,Confidential,Giza,Egypt,Full Time,Experienced,4.0,6.0,Wuzzuf,IT,Software Development,None,Ax,None,Engineering,Telecom,Technology,None,Ax,AX 2012,Dynamics AX,None
Back End Developer,Trufla,Cairo,Egypt,Full Time,Experienced,2.0,10.0,Wuzzuf,IT,Software Development,None,Computer Science,None,Engineering,Telecom,Technology,None,Computer Science,Information Technology (IT),Node.js,None
Back End Developer,Confidential,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,IT,Software Development,None,Back-End Development,None,Engineering,Telecom,Technology,None,Back-End Development,Laravel,Information Technology (IT),None
Back End Developer,Bavaya,Giza,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,IT,Software Development,None,backend,None,Engineering,Telecom,Technology,None,backend,Docker,MySQL,None
Back End Developer,Vooom,Cairo,Egypt,Full Time,Experienced,3.0,6.0,Wuzzuf,IT,Software Development,None,Computer Science,None,Engineering,Telecom,Technology,None,Computer Science,Information Technology (IT),Laravel,None
Back End Developer (Node.JS),ElCoach,Cairo,Egypt,Work From Home,Experienced,2.0,6.0,Wuzzuf,IT,Software Development,None,NodeJS,None,Engineering,Telecom,Technology,None,NodeJS,JSON,backend,None
Back-end .NET Core Developer,Spark Systems,Giza,Egypt,Full Time,Experienced,3.0,0.0,Wuzzuf,IT,Software Development,None,.Net,None,Engineering,Telecom,Technology,None,.Net,.net core,ASP,None
Back-End Engineering Lead,TurnDigital,Cairo,Egypt,Full Time,Manager,5.0,7.0,Wuzzuf,IT,Software Development,None,Startup,None,Engineering,Telecom,Technology,None,Startup,Computer Engineering,Information Technology (IT),None
Backend / Database Developer,Mobile Wave 3,Cairo,Egypt,Full Time,Experienced,6.0,7.0,Wuzzuf,IT,Software Development,None,Full Stack Development,None,Engineering,Telecom,Technology,None,Full Stack Development,PHP,MySQL,None
Backend / Middleware Developer (Mid-Senior),Mobile Wave 3,Cairo,Egypt,Full Time,Experienced,7.0,10.0,Wuzzuf,IT,Software Development,None,API,None,Engineering,Telecom,Technology,None,API,Java,MongoDB,None
Backend Developer,360Imaging,Giza,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,IT,Software Development,None,Backend,None,Engineering,Telecom,Technology,None,Backend,Golang,AWS,None
Backend Developer,WebOps,Cairo,Egypt,Full Time,Entry Level,0.0,3.0,Wuzzuf,IT,Software Development,None,Computer Science,None,Engineering,Telecom,Technology,None,Computer Science,CSS,Docker,None
Backend Developer,GameOn for Information Solutions,Alexandria,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,IT,Software Development,None,Computer Science,None,Engineering,Telecom,Technology,None,Computer Science,Information Technology (IT),Node.js,None
Backend Developer,Art Link,Alexandria,Egypt,Full Time,Entry Level,0.0,3.0,Wuzzuf,IT,Software Development,None,JavaScript,None,Engineering,Telecom,Technology,None,JavaScript,Laravel,PHP,None
Backend Developer,Obeikan Digital Solutions,Cairo,Egypt,Full Time,Experienced,3.0,0.0,Wuzzuf,IT,Software Development,None,NodeJS,None,Engineering,Telecom,Technology,None,NodeJS,Database,OOP,None
Backend Developer,Akwad,Alexandria,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,IT,Software Development,None,Software Development,None,Engineering,Telecom,Technology,None,Software Development,SQL,Programming,None
Backend Developer,Egyptian Medical Syndicates Union,Cairo,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,IT,Software Development,None,API,None,Engineering,Telecom,Technology,None,API,Computer Science,Development,None
Backend Developer,EXALT Technologies,Cairo,Egypt,Full Time,Entry Level,1.0,10.0,Wuzzuf,IT,Software Development,None,Software,None,Engineering,Telecom,Technology,None,Software,Software Development,Software Engineering,None
Backend Developer,Jamaykaa,Cairo,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,IT,Software Development,None,backend,None,Engineering,Telecom,Technology,None,backend,Angular,Laravel,None
Application Engineer (Mechanical Analysis Support),Promech Engineering,Cairo,Egypt,Full Time,Entry Level,2.0,0.0,Wuzzuf,IT,Software Development,None,Mechanical,None,Engineering,Telecom,Technology,None,Engineering - Mechanical/Electrical,Engineering,CAD,None
Application Support Engineer,Div Systems,Giza,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,IT,Software Development,None,Information Technology (IT),None,Engineering,Telecom,Technology,None,Information Technology (IT),Computer Science,SQL Server,None
Application Support Specialist,UnitLabs,Giza,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,IT,Software Development,None,Application Support,None,Engineering,Telecom,Technology,None,Application Support,ERP,Information Technology (IT),None
Application Support System Senior Analyst,Etisalat Misr,Cairo,Egypt,Full Time,Experienced,3.0,6.0,Wuzzuf,IT,Software Development,None,Computer Science,None,Engineering,Telecom,Technology,None,Computer Science,Computer Skills,Oracle,None
Backend Developer,Khales,Giza,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,IT,Software Development,None,back-end,None,Engineering,Telecom,Technology,None,back-end,Java,Ruby,None
Automation Control Engineer,CONTROWARE,Cairo,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,IT,Software Development,None,Automation,None,Quality,None,None,None,None,None,None,None
Automation Test Lead,zVendo.com,Cairo,Egypt,Full Time,Manager,5.0,8.0,Wuzzuf,IT,Software Development,None,Automation,None,Quality,None,None,None,None,None,None,None
Automation Test Lead Engineer,Centro CDX,Cairo,Egypt,Full Time,Experienced,5.0,8.0,Wuzzuf,IT,Software Development,None,Automation,None,Quality,None,None,None,None,None,None,None
Backend Developer ( Node.js ),Confidential,Cairo,Egypt,Full Time,Experienced,3.0,0.0,Wuzzuf,IT,Software Development,None,Node.js,None,Engineering,Telecom,Technology,None,Node.js,REST,MongoDB,None
Automation Engineer,Icity,Cairo,Egypt,Full Time,Manager,2.0,5.0,Wuzzuf,IT,Software Development,None,Automation Systems,None,Engineering,Telecom,Technology,None,Engineering - Mechanical/Electrical,Automation,Communication,None
Automation Pre Sales Engineer,Mas Automation,Cairo,Egypt,Full Time,Entry Level,1.0,4.0,Wuzzuf,IT,Software Development,None,Automation,None,Sales,Retail,None,None,Engineering - Telecom/Technology,SCADA,Engineering,None
Automation System Engineer,MISC,Cairo,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,IT,Software Development,None,Engineering,None,Engineering,Telecom,Technology,None,Engineering - Mechanical/Electrical,Telecommunication,Electrical Engineering,None
AV Technician,AVE Events,Cairo,Egypt,Full Time,Experienced,2.0,3.0,Wuzzuf,IT,Software Development,None,Events Coordination,None,Engineering,Telecom,Technology,None,Events Coordination,Audiovisual,Video Production,None
Backend Developer (Python),Dafater,Cairo,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,IT,Software Development,None,Computer Science,None,Engineering,Telecom,Technology,None,Computer Science,HTML,Information Technology (IT),None
AWS Solution Architect,Ultimate Solutions Egypt,Giza,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,IT,Software Development,None,DevOps,None,Engineering,Telecom,Technology,None,DevOps,AWS,Jenkins,None
Backend Developer (SharePoint),Perfect Presentation,Giza,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,IT,Software Development,None,Computer Science,None,Engineering,Telecom,Technology,None,Computer Science,Information Technology (IT),Software Development,None
Backend Engineer,Friddy,Cairo,Egypt,Full Time,Experienced,3.0,4.0,Wuzzuf,IT,Software Development,None,Node.js,None,Engineering,Telecom,Technology,None,Node.js,NoSQL,SQL,None
AX Functional Consultant,Sky logistics,Giza,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,IT,Software Development,None,Ax,None,Engineering,Telecom,Technology,None,Ax,Dynamics AX,Dynamics,None
Azure Cloud Senior Engineer,Robiquity,Cairo,Egypt,Full Time,Experienced,4.0,7.0,Wuzzuf,IT,Software Development,None,Azure,None,Engineering,Telecom,Technology,None,Azure,AWS,Cloud,None
B2B Sales Representative,Smart Zone,Cairo,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,IT,Software Development,None,Startup,None,Sales,Retail,None,None,Startup,Sales,Sales Skills,None
Backend Engineer,TurnDigital,Cairo,Egypt,Full Time,Entry Level,1.0,4.0,Wuzzuf,IT,Software Development,None,MSSQL,None,Engineering,Telecom,Technology,None,MSSQL,C#,MYSQL,None
Backend Node.js Developer,Webspace ME,Cairo,Egypt,Full Time,Experienced,3.0,6.0,Wuzzuf,IT,Software Development,None,Node.js,None,Engineering,Telecom,Technology,None,Node.js,Github,JavaScript,None
Backend Web Developer,Knoz Elhekma Company,Cairo,Egypt,Part Time,Experienced,3.0,5.0,Wuzzuf,IT,Software Development,None,Computer Science,None,Engineering,Telecom,Technology,None,Computer Science,Information Technology (IT),Software Development,None
Backend Web Developer,Alpha IT Enterprise,Cairo,Egypt,Full Time,Experienced,2.0,3.0,Wuzzuf,IT,Software Development,None,Laravel,None,Engineering,Telecom,Technology,None,Laravel,MySQL,JavaScript,None
BI Developer,Egypt Power Group,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,IT,Software Development,None,Microsoft Power BI,None,Engineering,Telecom,Technology,None,Microsoft Power BI,Power BI,SSIS,None
BI Developer,rarecrew,Sharqia,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,IT,Software Development,None,BI,None,Engineering,Telecom,Technology,None,BI,Business Intelligence,Computer Science,None
Big Data Engineer,Azentio Software,Cairo,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,IT,Software Development,None,Big Data,None,Engineering,Telecom,Technology,None,Big Data,Hadoop,Spark,None
Blockchain Developer,Block Gemini,Cairo,Egypt,Full Time,Experienced,3.0,15.0,Wuzzuf,IT,Software Development,None,Bitcoin,None,Engineering,Telecom,Technology,None,Bitcoin,blockchain,Ethereum,None
"C++ Software Developer, (Seniors )",Pillars,Cairo,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,IT,Software Development,None,C++,None,C++,None,None,None,None,None,None,None
CCTV Camera Control Room Manager,Talaat Moustafa Group,Cairo,Egypt,Full Time,Manager,7.0,0.0,Wuzzuf,IT,Software Development,None,CCTV,None,Operations/Management,None,None,None,None,None,None,None
C/C++ Developer For Network Simulations,Zamred,Cairo,Egypt,Full Time,Experienced,3.0,10.0,Wuzzuf,IT,Software Development,None,C,None,Engineering,Telecom,Technology,None,C,C++,Software Development,None
C/C++ Software Engineer,Confidential,Giza,Egypt,Full Time,Experienced,4.0,8.0,Wuzzuf,IT,Software Development,None,c,c++,Engineering,Telecom,Technology,None,c/c++,mongodb,oop,None
C# / .Net Remote Developer,GetTechForce.com,Alexandria,Egypt,Full Time,Experienced,3.0,0.0,Wuzzuf,IT,Software Development,None,C#,None,Engineering,Telecom,Technology,None,C#,Computer Science,Development,None
C# Net Developer,Confidential,Giza,Egypt,Full Time,Experienced,3.0,0.0,Wuzzuf,IT,Software Development,None,C#,None,Engineering,Telecom,Technology,None,C#,.Net,.Net Framework,None
C++ Developer (ERP),Confidential,Giza,Egypt,Full Time,Experienced,3.0,0.0,Wuzzuf,IT,Software Development,None,C++,None,Engineering,Telecom,Technology,None,C++,CLI,Software Development,None
C++ Developer (QT QML),Atomica,Cairo,Egypt,Full Time,Entry Level,1.0,0.0,Wuzzuf,IT,Software Development,None,computer,None,Engineering,Telecom,Technology,None,computer,Computer Engineering,Computer Science,None
C++ Developer (QT QML),360Imaging,Giza,Egypt,Full Time,Entry Level,1.0,0.0,Wuzzuf,IT,Software Development,None,Software Development,None,Engineering,Telecom,Technology,None,Software Development,C++,Computer Science,None
C++ Software Engineer,Atomica,Cairo,Egypt,Full Time,Entry Level,1.0,0.0,Wuzzuf,IT,Software Development,None,C,None,Engineering,Telecom,Technology,None,C,Computer Science,C++,None
C++ Software Engineer,Atomica,Cairo,Egypt,Full Time,Entry Level,1.0,10.0,Wuzzuf,IT,Software Development,None,Computer Engineering,None,Engineering,Telecom,Technology,None,Computer Engineering,Engineering,Information Technology (IT),None
C++ Software Engineer,360Imaging,Giza,Egypt,Internship,Student,0.0,1.0,Wuzzuf,IT,Software Development,None,C++,None,Engineering,Telecom,Technology,None,C++,Software Engineering,Git,None
C++ Software Engineer,360Imaging,Giza,Egypt,Internship,Entry Level,0.0,1.0,Wuzzuf,IT,Software Development,None,C,None,Engineering,Telecom,Technology,None,C,C++,Mathematics,None
C++ Software Engineer,360Imaging,Giza,Egypt,Full Time,Entry Level,1.0,0.0,Wuzzuf,IT,Software Development,None,C++,None,Engineering,Telecom,Technology,None,C++,C++11,R&amp;D,None
C++ Software Engineer (Automotive Industry),Confidential,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,IT,Software Development,None,C++,None,Engineering,Telecom,Technology,None,C++,Computer Science,Software Engineering,None
Coding Content Developer,iSchool,Cairo,Egypt,Full Time,Entry Level,1.0,4.0,Wuzzuf,IT,Software Development,None,Computer Science,None,Education,Teaching,None,None,Computer Science,Software Engineering,Coding,None
Data Developer Team Lead,KnowledgeNet,Cairo,Egypt,Full Time,Manager,7.0,12.0,Wuzzuf,IT,Software Development,None,Computer Science,None,Quality,None,None,None,None,None,None,None
Computer Science Coach,iSchool,Cairo,Egypt,Part Time,Entry Level,1.0,3.0,Wuzzuf,IT,Software Development,None,Computer Science,None,Education,Teaching,None,None,Training/Instructor,Software Engineering,Coding,None
BenQ Product Manager ( Audio / Video ),Digitec,Cairo,Egypt,Full Time,Experienced,2.0,4.0,Wuzzuf,IT,Software Development,None,Creative,None,Engineering,Telecom,Technology,None,Creative,Engineering,English,None
BI Analyst,4level1,Cairo,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,IT,Software Development,None,Analysis,None,Analyst,Research,None,None,Training/Instructor,analytical,BI,None
BI Analyst,Perfect Presentation,Giza,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,IT,Software Development,None,Analysis,None,Analyst,Research,None,None,Engineering - Telecom/Technology,analytical,BI,None
Computer Science/Coach,iSchool,Cairo,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,IT,Software Development,None,Computer Science,None,Education,Teaching,None,None,Training/Instructor,Software Engineering,Coding,None
DevOps Engineer,Genovity,Giza,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,IT,Software Development,None,Ansible,None,Ansible,None,None,None,None,None,None,None
Bid Owner,Interact Technology Solutions,Cairo,Egypt,Full Time,Experienced,3.0,0.0,Wuzzuf,IT,Software Development,None,Installation,None,Engineering,Telecom,Technology,None,Installation,Engineering,Microsoft Office,None
CRM Consultant,Reyada,Cairo,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,IT,Software Development,None,CRM,None,Engineering,Telecom,Technology,None,CRM,JavaScript,PHP,None
Billing Senior Specialist,Etisalat Misr,Cairo,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,IT,Software Development,None,SQL,None,Engineering,Telecom,Technology,None,SQL,Unix,Computer Science,None
CRM Techno Functional Consultant,Veripark,Cairo,Egypt,Work From Home,Experienced,5.0,7.0,Wuzzuf,IT,Software Development,None,Microsoft Dynamics,None,Engineering,Telecom,Technology,None,Microsoft Dynamics,CRM,Power Platform,None
Build Automation Engineer,Azentio Software,Cairo,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,IT,Software Development,None,Git,None,Engineering,Telecom,Technology,None,Git,jenkins,CI/CD,None
Dot Net Developer,IST Networks,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,IT,Software Development,None,ASP.Net,None,ASP.Net,None,None,None,None,None,None,None
Business Analysis Specialist,egabi solutions,Cairo,Egypt,Full Time,Experienced,6.0,8.0,Wuzzuf,IT,Software Development,None,Business Development,None,Analyst,Research,None,None,Engineering - Telecom/Technology,Business Administration,business,None
Business Analyst,Confidential,Cairo,Egypt,Full Time,Experienced,3.0,0.0,Wuzzuf,IT,Software Development,None,Business Analysis,None,Analyst,Research,None,None,Engineering - Telecom/Technology,Analysis,Information Technology (IT),None
